1,Viacom (Paramount),19.30%,1960.5,22,16
2,Time Warner (WB/New Line),17.90%,1826.2,38,26
3,Sony,13.40%,1363.9,53,40
4,Disney,12.20%,1240.8,18,14
5,NBC/Universal,11.50%,1167.5,26,23
6,News Corporation (Fox),11.10%,1130.4,32,26
7,Summit Entertainment,4.00%,411.6,10,8
8,Weinstein Company,2.90%,296.1,17,15
9,Relativity,2.20%,228.1,8,7
10,Lionsgate,1.80%,184,15,12
11,FilmDistrict,1.20%,126,5,5
12,CBS Films,0.60%,57.4,3,2
13,Roadside Attractions,0.30%,28,14,12
14,Open Road Films,0.20%,25.1,1,1
15,IFC,0.20%,17.6,45,41
16,Eros,0.10%,11.2,14,14
17,Codeblack Entertainment,0.10%,7.7,1,1
18,Magnolia,0.10%,7.7,29,26
19,Samuel Goldwyn,0.10%,6.5,8,8
20,Reliance Big Pictures,0.10%,6.3,5,5
21,Producers Distribution Agency,0.10%,5.8,2,2
22,Rocky Mountain Pictures,0.00%,5,3,3
23,3D Entertainment,0.00%,4.5,1,0
24,Visio Entertainment,0.00%,4.4,1,1
25,Music Box Films,0.00%,4.1,16,11
26,UTV Communications,0.00%,3.5,10,9
27,Newmarket,0.00%,2.7,1,1
28,IMAX,0.00%,2.6,4,0
29,Zeitgeist,0.00%,2.3,6,5
30,National Geographic Entertainment,0.00%,1.9,8,6
31,Quaker Media,0.00%,1.9,1,1
32,Paladin,0.00%,1.8,6,6
33,Anchor Bay Films,0.00%,1.6,9,9
34,Freestyle Releasing,0.00%,1.6,7,7
35,ATO Pictures,0.00%,1.5,2,1
36,Oscilloscope Pictures,0.00%,1.4,10,7
37,Shorts International,0.00%,1.4,1,1
38,International Film Circuit,0.00%,1.3,7,5
39,Omni Lab/Freestyle Releasing,0.00%,1.2,1,1
40,SModcast Pictures,0.00%,1.1,1,1
41,First Run,0.00%,1,17,15
42,Variance Films,0.00%,1,16,14
43,Abramorama,0.00%,0.995,3,3
44,Strand,0.00%,0.971,18,14
45,China Lion,0.00%,0.818,11,9
46,Cohen Media Group,0.00%,0.81,2,3
47,Pascack Media,0.00%,0.74,1,1
48,NeoClassics Films,0.00%,0.708,1,1
49,Kino,0.00%,0.663,6,4
50,KKM,0.00%,0.535,1,1
51,Vitagraph,0.00%,0.521,2,2
52,Bubble Distribution,0.00%,0.509,1,1
53,Yash Raj,0.00%,0.496,1,1
