120,The Bigger Picture,0.00%,0.0137,3,3
121,Mile End Films,0.00%,0.0123,1,1
122,Mandt Bros. Productions,0.00%,0.012,1,1
123,Sky Island Films,0.00%,0.0116,1,1
124,Lafayette Films,0.00%,0.0103,1,1
125,River Rain,0.00%,0.0098,1,1
126,Blowtorch Entertainment,0.00%,0.0094,1,1
127,Diversa Films,0.00%,0.0093,1,0
128,Direct Cinema Limited,0.00%,0.0084,1,1
129,Engel Entertainment,0.00%,0.0077,1,1
130,Warrior Poets Releasing,0.00%,0.0068,1,0
131,Outsider Films,0.00%,0.0067,1,1
132,Abkco Films,0.00%,0.0062,2,0
133,Mountain Top Releasing,0.00%,0.0054,1,1
134,Artistic License,0.00%,0.0031,1,1
135,MPI Media Group,0.00%,0.0026,1,1
136,Lantern Lane,0.00%,0.0021,1,1
137,ImaginAsian Pictures,0.00%,0.001,2,2
138,Lavendar House Films,0.00%,0.0006,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
