1,Time Warner (WB/New Line),23.00%,2119.8,43,35
2,Disney,21.00%,1931.3,57,38
3,Sony,13.40%,1230.1,58,43
4,NBC/Universal,12.70%,1174.5,28,22
5,News Corporation (Fox),9.70%,895.6,33,26
6,Viacom (Paramount),7.20%,659.5,30,21
7,MGM/UA,4.00%,371.4,23,15
8,Dimension Films,3.10%,289.7,6,4
9,DreamWorks SKG,3.00%,272.9,10,7
10,Lionsgate,0.60%,54.4,17,14
11,IMAX,0.30%,27.1,8,1
12,Artisan,0.30%,23.9,8,5
13,Newmarket,0.20%,22.3,6,5
14,IFC,0.20%,21.1,9,8
15,Odeon,0.10%,12.3,7,7
16,IDP,0.10%,10.6,12,10
17,ThinkFilm,0.10%,9.5,7,7
18,Alliance,0.10%,9.1,8,7
19,Zeitgeist,0.10%,6.4,5,4
20,RS,0.10%,5.8,3,3
21,SK Films,0.00%,4.3,1,1
22,Manhattan,0.00%,3.7,2,1
23,Eros,0.00%,3.6,10,10
24,Magnolia,0.00%,3.2,3,3
25,Equinox,0.00%,3,1,1
26,Wellspring,0.00%,3,9,7
27,N Wave,0.00%,2.8,3,0
28,Yash Raj,0.00%,2.7,3,2
29,Warren Miller,0.00%,2.4,1,1
30,Christal Films,0.00%,2.3,5,5
31,Palm,0.00%,2.2,10,10
32,WGB.,0.00%,1.8,1,0
33,New Yorker,0.00%,1.6,17,11
34,Innovation Film Group,0.00%,1.6,7,6
35,Roxie,0.00%,1.5,1,0
36,Strand,0.00%,1.4,17,12
37,Vitagraph,0.00%,1.4,3,3
38,Rajshri Intl.,0.00%,1.3,2,2
39,Chris.,0.00%,1.3,2,2
40,Mormon Movies,0.00%,1.1,1,1
41,Halestorm,0.00%,1.1,1,1
42,TVA,0.00%,0.957,4,4
43,Menemsha,0.00%,0.865,3,2
44,Cowboy,0.00%,0.861,15,2
45,First Run,0.00%,0.849,14,8
46,Rialto,0.00%,0.801,7,5
47,Seville,0.00%,0.684,1,1
48,Avatar,0.00%,0.679,4,2
49,Panorama,0.00%,0.672,2,1
50,Kino,0.00%,0.666,11,7
51,Indican,0.00%,0.642,8,5
52,First Look,0.00%,0.608,5,5
53,CAVU,0.00%,0.595,1,1
54,Sundance Film Series,0.00%,0.587,4,4
55,Gold Circle,0.00%,0.57,2,1
56,TLA Releasing,0.00%,0.568,6,5
57,Shadow Dist.,0.00%,0.524,3,4
58,Five & Two Pictures,0.00%,0.521,1,0
59,Small Planet,0.00%,0.467,4,3
60,Megastar,0.00%,0.41,1,1
61,MAC Releasing,0.00%,0.4,3,3
62,Five Sisters,0.00%,0.392,1,0
63,Excel,0.00%,0.373,2,1
64,Artistic License,0.00%,0.368,2,3
65,Tips,0.00%,0.346,1,1
66,Animation Show,0.00%,0.304,1,1
67,Arenaplex,0.00%,0.291,2,2
68,Video Sound,0.00%,0.285,1,1
69,Jet Films,0.00%,0.261,1,1
70,Regent Releasing,0.00%,0.246,2,1
71,Empire,0.00%,0.203,7,3
72,Media Partners,0.00%,0.195,1,0
73,Net Effect,0.00%,0.192,2,2
74,Films Philos,0.00%,0.176,1,1
75,Gatekeeper,0.00%,0.165,1,1
76,Lang Films,0.00%,0.165,1,1
77,Purple,0.00%,0.138,1,1
78,Venevision,0.00%,0.123,2,2
79,Picture This!,0.00%,0.118,2,1
80,Spark Media,0.00%,0.107,1,1
81,Music Masala Films,0.00%,0.0857,1,1
82,ADV Films,0.00%,0.0776,1,1
83,Cinema Guild,0.00%,0.075,3,2
84,Trillion,0.00%,0.0717,1,1
85,Rainbow Releasing,0.00%,0.0576,1,0
86,120 Degree Films,0.00%,0.0561,1,1
87,Small Island,0.00%,0.0531,1,1
88,Lifesize,0.00%,0.0495,1,1
89,7th Art,0.00%,0.0487,3,3
90,MPE,0.00%,0.0377,1,0
91,Castle Hill,0.00%,0.0372,4,3
92,Facets,0.00%,0.0368,2,2
93,Cinema Tropical,0.00%,0.0331,1,1
94,DEJ,0.00%,0.0305,1,1
95,Leisure Time,0.00%,0.0302,2,1
96,Lot 47,0.00%,0.0246,1,0
97,Strata Prods.,0.00%,0.0214,1,1
98,JF Productions,0.00%,0.0198,1,1
99,Spanish Moss,0.00%,0.0194,1,1
100,Pioneer,0.00%,0.0162,1,1
101,Cinema Four,0.00%,0.0159,5,5
102,Paradise Acres,0.00%,0.0156,1,1
103,Spit N' Glue,0.00%,0.0149,1,1
104,Arab Film Dist.,0.00%,0.0143,2,2
105,Hollywood Global,0.00%,0.0115,1,1
106,Fish Eye,0.00%,0.0114,1,1
107,Loop Filmworks,0.00%,0.0113,1,1
108,David Keith,0.00%,0.011,2,1
109,Film Movement,0.00%,0.011,1,1
110,Manifesto Films,0.00%,0.0094,1,1
111,Balcony Releasing,0.00%,0.0089,1,1
112,Miracle Film Distribution,0.00%,0.008,1,1
113,Neverland,0.00%,0.008,1,1
114,Reliance Films,0.00%,0.0075,1,1
115,The Martindale Group,0.00%,0.0069,1,1
116,Testimony,0.00%,0.0061,1,1
117,Outrider,0.00%,0.0057,2,2
118,Tidepoint Pictures,0.00%,0.0046,1,1
119,Arrival Pictures,0.00%,0.0042,1,1
120,Jour de Fete,0.00%,0.0041,1,1
121,Off-Holywd. Dist.,0.00%,0.0032,1,1
122,Hiqi Media,0.00%,0.0032,1,1
123,Pathfinder,0.00%,0.0016,1,1
124,Running Entertainment,0.00%,0.0016,1,1
125,Emerging Pictures,0.00%,0.0014,1,1
126,"Exorcism The Movie, LLC",0.00%,0.0013,1,1
127,Rainforest,0.00%,0.001,1,0
128,Abramorama,0.00%,0.001,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
