1,Time Warner (WB/New Line),21.30%,2453.1,40,30
2,Disney,14.90%,1711,17,10
3,NBC/Universal,13.30%,1534.3,29,22
4,Sony,10.60%,1214.8,41,31
5,News Corporation (Fox),10.20%,1178.9,30,22
6,Lionsgate,9.30%,1069.5,26,21
7,Viacom (Paramount),8.40%,967.4,17,10
8,Weinstein Company,4.30%,491.7,21,16
9,Relativity,2.10%,241.5,9,9
10,FilmDistrict,1.90%,214.9,7,5
11,Open Road Films,1.30%,148.2,8,7
12,CBS Films,0.80%,88,5,5
13,Roadside Attractions,0.40%,44.8,12,10
14,A24,0.20%,27.9,5,5
15,Eros,0.10%,13,17,16
16,IFC,0.10%,10.7,38,38
17,UTV Communications,0.10%,9.6,10,10
18,Radius-TWC,0.10%,7.5,8,8
19,Magnolia,0.10%,7.2,36,34
20,Yash Raj,0.10%,7.2,1,1
21,Samuel Goldwyn,0.10%,6.6,7,5
22,High Top Releasing,0.00%,3.8,5,5
23,National Geographic Entertainment,0.00%,3.8,3,1
24,Picturehouse (II),0.00%,3.4,1,1
25,Millennium Ent.,0.00%,3.3,9,9
26,Cohen Media Group,0.00%,3.1,10,11
27,IMAX,0.00%,2.8,4,1
28,Reliance Big Pictures,0.00%,2.7,4,3
29,EchoLight Studios,0.00%,2.3,2,2
30,Shorts International,0.00%,2.1,1,1
31,Music Box Films,0.00%,1.7,10,8
32,Gathr Films,0.00%,1.6,1,2
33,Cinedigm Entertainment,0.00%,1.6,12,11
34,Purdie Distribution,0.00%,1.5,1,1
35,LD Entertainment,0.00%,1.4,1,1
36,Entertainment One,0.00%,1.4,9,8
37,Zeitgeist,0.00%,1.3,7,6
38,Anchor Bay Films,0.00%,1.3,14,14
39,Arenas Entertainment,0.00%,1.1,1,1
40,GKIDS,0.00%,1,4,3
41,RCR Distribution,0.00%,1,1,1
42,First Run,0.00%,0.978,24,22
43,Exclusive Media,0.00%,0.973,2,2
44,Adopt Films,0.00%,0.962,4,2
45,Freestyle Releasing,0.00%,0.953,8,8
46,Kino Lorber,0.00%,0.885,31,17
47,Variance Films,0.00%,0.883,10,10
48,Well Go USA,0.00%,0.871,8,8
49,International Film Circuit,0.00%,0.864,6,5
50,The Vladar Company,0.00%,0.85,1,1
51,CJ Entertainment,0.00%,0.841,5,3
52,Janus Films,0.00%,0.833,2,2
53,Cinema Guild,0.00%,0.752,13,7
54,Drafthouse,0.00%,0.694,6,6
55,Callbox LLC,0.00%,0.693,1,0
56,Submarine Deluxe,0.00%,0.632,5,4
57,Methinx Entertainment,0.00%,0.55,1,1
58,Pan Media & Entertainment,0.00%,0.516,1,1
59,Oscilloscope Pictures,0.00%,0.483,10,7
60,The Film Arcade,0.00%,0.472,4,4
61,erbp Film,0.00%,0.444,1,1
62,Eleven Arts,0.00%,0.443,3,2
63,China Lion,0.00%,0.439,7,6
64,Tribeca Film,0.00%,0.402,18,16
65,Ketchup Entertainment,0.00%,0.374,3,3
66,eOne Entertainment,0.00%,0.34,1,1
67,Strand,0.00%,0.314,15,11
68,Indomina Media,0.00%,0.28,2,1
69,Paladin/108 Media,0.00%,0.277,3,3
70,Rialto,0.00%,0.269,13,9
71,Main Street Films,0.00%,0.259,1,1
72,Abramorama,0.00%,0.215,5,4
73,Producers Distribution Agency,0.00%,0.196,2,1
74,Codeblack Entertainment,0.00%,0.194,1,1
75,Alive Mind Cinema,0.00%,0.193,3,1
76,The Film Collective,0.00%,0.19,2,2
77,Xlrator Media,0.00%,0.157,2,2
78,Rocky Mountain Pictures,0.00%,0.152,1,1
79,AMC Theaters,0.00%,0.145,2,2
80,Rada Film Group,0.00%,0.136,1,1
81,Seatzy/IMA,0.00%,0.134,1,1
82,Excel,0.00%,0.125,1,1
83,Paladin/Film Buff,0.00%,0.12,1,1
84,Gabriel's Messenger Films,0.00%,0.104,1,1
85,MPI Media Group,0.00%,0.102,1,1
86,Janson Media,0.00%,0.1,1,1
87,Waking Giants,0.00%,0.0901,1,1
88,Distrib Films,0.00%,0.0867,3,3
89,"Monterey Media, Inc.",0.00%,0.0848,4,7
90,Image Entertainment,0.00%,0.0806,1,1
91,Prabhudheva,0.00%,0.0801,1,1
92,Onyx Films,0.00%,0.0796,1,0
93,Liberty Street Films,0.00%,0.0776,1,1
94,The Film Collaborative,0.00%,0.0711,2,2
95,Area23a,0.00%,0.0683,5,4
96,Snagfilms,0.00%,0.0638,1,0
97,APD/Cinema Conservancy,0.00%,0.0556,4,3
98,Screen Media,0.00%,0.0553,1,2
99,River Rain,0.00%,0.0545,1,1
100,Armando Montelongo Productions,0.00%,0.0542,1,1
101,Indican,0.00%,0.0531,5,3
102,Noujaim Films,0.00%,0.053,1,1
103,Film Movement,0.00%,0.0512,6,5
104,Brainstorm Media,0.00%,0.0488,2,2
105,Icarus Films,0.00%,0.0471,2,1
106,Le Petit Canyon,0.00%,0.0464,1,1
107,Wolfe Releasing,0.00%,0.0455,1,1
108,Lambert Releasing,0.00%,0.045,1,1
109,Rockstone Releasing,0.00%,0.0415,1,1
110,Page 124 Productions,0.00%,0.0411,1,0
111,House Lights Media,0.00%,0.0406,1,1
112,Leisure Time,0.00%,0.0396,1,1
113,Fine Line Media,0.00%,0.0389,1,1
114,Drive-in Doc LLC,0.00%,0.0368,1,1
115,The Film Desk,0.00%,0.0354,11,2
116,Vitagraph,0.00%,0.0344,2,2
117,Active Fox Productions,0.00%,0.033,2,2
118,Long Shot Factory,0.00%,0.0309,1,0
119,Cinipix,0.00%,0.0299,1,1
120,Carlotta Films,0.00%,0.0277,1,1
121,FilmBuff,0.00%,0.0276,1,1
122,Driving With Our Eyes Shut,0.00%,0.027,4,2
123,Breaking Glass Pictures,0.00%,0.027,1,1
124,Doppelganger Releasing,0.00%,0.027,3,3
125,Zipporah Films,0.00%,0.0265,1,1
126,Steelyard Pictures,0.00%,0.025,1,1
127,"Ghosts Media, Inc.",0.00%,0.0207,1,1
128,GoGoGo Entertainment,0.00%,0.0199,1,1
129,Striped Entertainment,0.00%,0.0196,3,3
130,NoCoast Artists,0.00%,0.0195,1,1
131,AFFRM,0.00%,0.0183,2,2
132,Dada Films,0.00%,0.0177,1,1
133,Follow Your Nose Films,0.00%,0.0167,1,1
134,Argot Pictures,0.00%,0.0164,4,3
135,Loki Films,0.00%,0.0144,1,0
136,Content Media,0.00%,0.0144,1,1
137,ATO Pictures,0.00%,0.0135,1,1
138,Archstone,0.00%,0.0133,2,2
139,Leave It Better,0.00%,0.0107,1,1
140,Bonfire Films of America,0.00%,0.0106,1,1
141,Starz Media,0.00%,0.01,1,1
142,Vanguardia Films,0.00%,0.0093,1,1
143,The Ashton Times,0.00%,0.0093,1,1
144,The Happy Sad LLC,0.00%,0.0084,1,1
145,Gold Cap Films,0.00%,0.0074,1,1
146,KimStim,0.00%,0.0069,1,1
147,Unknown,0.00%,0.0065,2,3
148,Paladin,0.00%,0.0058,1,1
149,Under the Milky Way,0.00%,0.0042,1,1
150,Cinema Purgatorio,0.00%,0.0033,1,1
151,IM Global/Blumhouse,0.00%,0.0031,1,1
152,Cinema Libre Studio,0.00%,0.003,1,1
153,Cinema Libre,0.00%,0.003,1,1
154,Reactor 88 Studios,0.00%,0.0022,1,1
155,AfterLight,0.00%,0.0022,2,2
156,Palisades Tartan,0.00%,0.0016,1,0
157,Blue Llama,0.00%,0.0011,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
