111,"Ghosts Media, Inc.",0.00%,0.0556,1,1,,,
112,Collective Eye,0.00%,0.0491,1,1,,,
113,Sundance Selects,0.00%,0.0485,1,1,,,
114,Hannover House,0.00%,0.0461,2,2,,,
115,Richmond Media Ent.,0.00%,0.0455,1,1,,,
116,Cartuna,0.00%,0.0442,1,1,,,
117,Lightyear Entertainment,0.00%,0.0436,1,1,,,
118,Area23a,0.00%,0.0399,1,1,,,
119,Transatlantic,0.00%,0.0369,1,1,,,
120,International WOW,0.00%,0.0364,1,1,,,
121,Linn Productions,0.00%,0.0358,1,1,,,
122,Argot Pictures,0.00%,0.0317,2,1,,,
123,25th Frame,0.00%,0.0295,1,1,,,
124,Electric Entertainment,0.00%,0.0271,1,1,,,
125,Jampa,0.00%,0.0267,1,1,,,
126,In the Light,0.00%,0.0241,1,0,,,
127,Orion Pictures,0.00%,0.0227,2,2,,,
128,Long Shot Factory,0.00%,0.0223,1,1,,,
129,Red Dirt Pictures,0.00%,0.0223,1,1,,,
130,CAVU,0.00%,0.0196,1,1,,,
131,Rocky Mountain Pictures,0.00%,0.0191,1,1,,,
132,Wonder Vision,0.00%,0.0187,1,1,,,
133,Zipporah Films,0.00%,0.0186,1,0,,,
134,Eammon Films,0.00%,0.0181,1,1,,,
135,WRA Productions,0.00%,0.0181,1,1,,,
136,Monument Releasing,0.00%,0.0165,2,1,,,
137,Independent,0.00%,0.016,2,2,,,
138,Bloodvine Media,0.00%,0.015,1,0,,,
139,Bow and Arrow,0.00%,0.0141,1,1,,,
140,Corinth Films,0.00%,0.0138,2,2,,,
141,Epic Pictures,0.00%,0.0113,1,1,,,
142,Archstone,0.00%,0.0112,1,1,,,
143,Gemelli,0.00%,0.0108,1,1,,,
144,Mirror Images Ltd.,0.00%,0.0101,1,1,,,
145,Under the Milky Way,0.00%,0.0099,1,1,,,
146,26 Aries,0.00%,0.0095,1,1,,,
147,Mainstreet,0.00%,0.0088,1,1,,,
148,BBC Worldwide North America,0.00%,0.0075,1,1,,,
149,The Ciesla Foundation,0.00%,0.007,1,0,,,
150,JSenko,0.00%,0.007,1,1,,,
151,Brainstorm Media,0.00%,0.0069,1,1,,,
152,Boxcar,0.00%,0.0059,1,1,,,
153,Surla Films,0.00%,0.0058,1,1,,,
154,Driving With Our Eyes Shut,0.00%,0.0054,2,2,,,
155,Uncork'd,0.00%,0.0038,1,1,,,
156,Masters Media,0.00%,0.0034,1,1,,,
157,Medallion,0.00%,0.0031,1,1,,,
158,Artmattan Prods.,0.00%,0.0028,1,1,,,
159,Anchor Bay Films,0.00%,0.002,1,1,,,
160,MarVista Entertainment,0.00%,0.0016,1,1,,,
161,FilmBuff,0.00%,0.0015,1,1,,,
162,Holt Hamilton Films,0.00%,0.0004,1,0,,,
