1,Time Warner (WB/New Line),18.80%,2043.1,37,27
2,News Corporation (Fox),17.90%,1938.3,33,25
3,Disney,14.90%,1617.5,17,13
4,Sony,12.00%,1303.4,44,34
5,NBC/Universal,11.40%,1241.3,30,25
6,Viacom (Paramount),9.70%,1052.9,18,14
7,Lionsgate,6.80%,736.9,22,18
8,Weinstein Company,2.00%,222,19,15
9,Relativity,1.70%,186.5,12,8
10,Open Road Films,1.50%,162.7,9,7
11,Freestyle Releasing,0.70%,78.2,12,12
12,Roadside Attractions,0.30%,37.3,14,13
13,IFC,0.30%,32.7,42,38
14,Clarius Entertainment,0.20%,26.9,3,3
15,UTV Communications,0.10%,15.9,9,9
16,CBS Films,0.10%,14.2,5,3
17,A24,0.10%,13.3,10,10
18,Radius-TWC,0.10%,10.1,15,12
19,IMAX,0.10%,7.9,5,0
20,Music Box Films,0.10%,7.1,16,15
21,Eros,0.10%,6.7,13,13
22,Purdie Distribution,0.10%,6.6,2,1
23,Millennium Ent.,0.10%,5.8,5,5
24,Cohen Media Group,0.00%,5.3,12,12
25,Magnolia,0.00%,5.2,35,32
26,Samuel Goldwyn,0.00%,4.9,9,9
27,National Geographic Entertainment,0.00%,4.8,1,0
28,Entertainment One,0.00%,3.8,8,8
29,China Lion,0.00%,3.3,11,9
30,FIP,0.00%,3.2,2,2
31,CJ Entertainment,0.00%,3.1,5,5
32,Screenvision,0.00%,2.6,1,1
33,Janus Films,0.00%,2.5,2,1
34,Saban Films,0.00%,2.2,1,1
35,Shorts International,0.00%,2.2,1,1
36,Reliance Big Pictures,0.00%,1.7,3,3
37,Well Go USA,0.00%,1.6,13,13
38,Tribeca Film,0.00%,1.3,12,10
39,Abramorama,0.00%,1.2,6,6
40,Triumph,0.00%,1.2,1,1
41,Drafthouse,0.00%,1.1,12,11
42,Ten Furlongs,0.00%,1.1,1,1
43,Kino Lorber,0.00%,1,30,24
44,Counterpoint Films,0.00%,0.972,1,1
45,GKIDS,0.00%,0.965,4,4
46,Liberty Studios,0.00%,0.935,1,1
47,Atlas Distribution,0.00%,0.847,1,1
48,Yash Raj,0.00%,0.837,1,0
49,Seatzy/IMA,0.00%,0.754,1,0
50,Zeitgeist,0.00%,0.74,8,6
51,Strand,0.00%,0.733,14,13
52,Future Educational Films,0.00%,0.602,1,0
53,Oscilloscope Pictures,0.00%,0.562,8,8
54,Adopt Films,0.00%,0.559,3,2
55,Ocean Avenue Entertainment,0.00%,0.549,1,1
56,Hannover House,0.00%,0.543,1,1
57,Eleven Arts,0.00%,0.474,9,8
58,American Experience Films,0.00%,0.44,1,1
59,Amplify,0.00%,0.431,3,3
60,Cinedigm Entertainment,0.00%,0.417,4,4
61,Rialto,0.00%,0.393,12,10
