126,Atopia,0.00%,0.0091,1,1
127,CAVU,0.00%,0.0084,1,0
128,Cafe Entertainment Studio,0.00%,0.0076,1,1
129,Films Philos,0.00%,0.007,1,0
130,Burton/Floyd,0.00%,0.0069,1,1
131,Sundance Film Series,0.00%,0.0066,1,1
132,Roxie,0.00%,0.0047,1,0
133,Leisure Time,0.00%,0.0039,2,2
134,Milestone,0.00%,0.0037,1,1
135,Plexifilm,0.00%,0.0036,1,1
136,Facets,0.00%,0.0028,1,1
137,Watch Releasing,0.00%,0.0026,1,1
138,RMH Media,0.00%,0.0025,1,1
139,Tag Entertainment,0.00%,0.0025,1,1
140,Five Sisters,0.00%,0.0024,1,0
141,Arab Film Dist.,0.00%,0.0017,1,1
142,Visionbox,0.00%,0.0016,1,1
143,Kathi Arts,0.00%,0.0014,1,1
144,Maxmedia/Endgame Pictures,0.00%,0.0009,1,1
145,Manhattan,0.00%,0,1,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
