1,Time Warner (WB/New Line),20.20%,2154.9,38,29
2,News Corporation (Fox),15.50%,1651.5,33,25
3,Viacom (Paramount),14.50%,1542.6,21,16
4,Sony,14.10%,1504.9,51,41
5,Disney,12.10%,1290.6,32,23
6,NBC/Universal,10.10%,1074.9,32,27
7,Summit Entertainment,4.50%,482.5,11,9
8,Lionsgate,3.80%,406,14,12
9,Weinstein Company,1.90%,205.3,10,8
10,Overture Films,1.50%,157.8,8,6
11,MGM/UA,0.60%,65.2,5,1
12,Apparition,0.20%,16.5,4,4
13,Freestyle Releasing,0.10%,12.7,7,6
14,Magnolia,0.10%,12.6,28,25
15,Roadside Attractions,0.10%,11.3,13,11
16,IFC,0.10%,10.5,30,25
17,IMAX,0.10%,8,5,0
18,Eros,0.10%,6.2,6,6
19,UTV Communications,0.00%,4.1,8,8
20,Samuel Goldwyn,0.00%,3.8,9,8
21,National Geographic Entertainment,0.00%,3.6,3,1
22,Reliance Big Pictures,0.00%,3.3,1,1
23,Regent Releasing,0.00%,2.6,18,11
24,3D Entertainment,0.00%,2,1,0
25,Story Island Entertainment,0.00%,2,1,1
26,Oscilloscope Pictures,0.00%,2,7,6
27,Yash Raj,0.00%,1.9,4,3
28,Truly Indie,0.00%,1.8,5,5
29,Music Box Films,0.00%,1.8,5,4
30,Vivendi Entertainment,0.00%,1.6,3,3
31,First Look,0.00%,1.4,1,1
32,AdLabs,0.00%,1.4,8,7
33,International Film Circuit,0.00%,1.3,4,4
34,Five & Two Pictures,0.00%,1.2,1,1
35,Indican,0.00%,1.1,6,5
36,Slowhand Cinema,0.00%,0.872,4,4
37,Zeitgeist,0.00%,0.81,12,9
38,Screen Media,0.00%,0.801,7,7
39,8X Entertainment,0.00%,0.742,1,1
40,Strand,0.00%,0.74,15,12
41,Abramorama,0.00%,0.727,4,4
42,After Dark Films,0.00%,0.666,1,1
43,Studio 18,0.00%,0.66,4,4
44,Shorts International,0.00%,0.645,1,1
45,Vitagraph,0.00%,0.523,2,2
46,Cinema Guild,0.00%,0.523,8,5
47,American Zoetrope,0.00%,0.519,1,1
48,First Run,0.00%,0.488,16,13
49,Elephant Eye Films,0.00%,0.486,1,1
50,Shadow Dist.,0.00%,0.479,4,4
51,Anchor Bay Films,0.00%,0.473,8,8
52,Full Circle Releasing,0.00%,0.398,1,1
53,Zipporah Films,0.00%,0.395,1,1
54,Liberation Entertainment,0.00%,0.352,2,1
55,Variance Films,0.00%,0.338,6,6
56,First Independent Pictures,0.00%,0.336,3,2
57,Janus Films,0.00%,0.318,2,1
58,Cinedigm Entertainment,0.00%,0.315,3,3
59,Kino,0.00%,0.307,7,3
60,,0.00%,0.303,6,6
61,Senator Distribution,0.00%,0.3,1,1
62,Arthouse Films,0.00%,0.293,3,3
63,Rialto,0.00%,0.287,5,4
64,Balcony Releasing,0.00%,0.269,3,1
65,Argot Pictures,0.00%,0.228,4,4
66,Big Pictures,0.00%,0.199,1,1
67,Unknown,0.00%,0.176,6,5
68,Third Rail Releasing,0.00%,0.175,2,2
69,Image Entertainment,0.00%,0.168,2,2
70,Variance / Everest,0.00%,0.164,1,1
71,Koch Lorber Films,0.00%,0.164,2,2
72,"Monterey Media, Inc.",0.00%,0.164,10,9
73,Maya Entertainment,0.00%,0.162,5,4
74,Peace Arch Entertainment,0.00%,0.142,3,2
75,The Film Desk,0.00%,0.136,7,4
76,Empire Film Group,0.00%,0.124,1,1
77,Hannover House,0.00%,0.124,1,1
78,Eleven Arts,0.00%,0.113,2,2
79,Paladin,0.00%,0.0861,2,2
80,Lorber Films,0.00%,0.0821,4,4
81,Palisades Tartan,0.00%,0.0816,2,2
82,Cinema Libre,0.00%,0.065,4,3
83,Cinema Libre Studio,0.00%,0.065,4,3
84,Mitropoulos Films,0.00%,0.0634,2,2
85,Emerging Pictures,0.00%,0.0545,1,1
86,Audience Alliance,0.00%,0.0541,1,1
87,21st Century Film Production,0.00%,0.0501,1,1
88,Sky Island Films,0.00%,0.0476,1,1
89,Wave Releasing,0.00%,0.0471,1,1
90,Bev Pictures,0.00%,0.0448,1,1
91,Speak Productions,0.00%,0.0371,1,0
92,Corinth Films,0.00%,0.0368,1,1
93,Mypheduh Films,0.00%,0.0301,1,1
94,MSK Productions,0.00%,0.0286,1,1
95,Trela Media,0.00%,0.0271,1,1
96,ThinkFilm,0.00%,0.0253,1,0
97,Roebuck Media,0.00%,0.0244,1,1
98,New American Vision,0.00%,0.0228,1,1
99,Embrem Entertainment,0.00%,0.0185,1,1
100,Film Movement,0.00%,0.016,1,1
101,Aliquot Films,0.00%,0.0118,1,1
102,Nocturnal Features,0.00%,0.0114,3,3
103,Wildcat Releasing,0.00%,0.011,1,1
104,Mangusta Productions,0.00%,0.0099,1,1
105,Inspired Life,0.00%,0.0098,1,1
106,River Rain,0.00%,0.0085,1,0
107,Fair Trade Pictures,0.00%,0.0076,1,0
108,Tentmakers Entertainment,0.00%,0.0068,1,0
109,Osiris Entertainment,0.00%,0.0065,1,1
110,Sumbadhat Productions,0.00%,0.006,1,1
111,28 Entertainment,0.00%,0.0043,1,1
112,Cavalier Films,0.00%,0.003,1,0
113,New Love Films,0.00%,0.0026,1,0
114,Yeah,0.00%,0.001,1,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
