1,Time Warner (WB/New Line),21.70%,1918.9,54,42
2,News Corporation (Fox),16.50%,1456,32,24
3,NBC/Universal,13.20%,1169.3,35,29
4,Disney,12.50%,1105.3,40,31
5,Sony,11.10%,981.8,57,47
6,Viacom (Paramount),9.80%,864.7,25,18
7,DreamWorks SKG,5.70%,501.8,10,9
8,Lionsgate,3.20%,284,20,18
9,Dimension Films,2.10%,185.1,7,6
10,MGM/UA,2.10%,181.5,10,9
11,Weinstein Company,0.50%,46.9,6,7
12,IMAX,0.20%,18.9,8,2
13,IDP,0.20%,17.6,10,9
14,ThinkFilm,0.20%,14,17,15
15,N Wave,0.10%,9.3,4,1
16,Magnolia,0.10%,9.2,8,8
17,Newmarket,0.10%,7.5,6,5
18,IFC,0.10%,7.3,13,12
19,Eros,0.10%,5.4,13,13
20,Yash Raj,0.00%,4.3,6,5
21,Giant Screen Films,0.00%,4.1,2,0
22,Shadow Dist.,0.00%,3.4,6,5
23,Aloha Releasing,0.00%,3,1,1
24,Slowhand Cinema,0.00%,2.9,6,5
25,Wellspring,0.00%,2.8,17,10
26,SK Films,0.00%,2.7,1,0
27,UTV Communications,0.00%,2.5,6,5
28,Excel,0.00%,2.4,2,0
29,Mongrel Media,0.00%,2.3,1,1
30,Vineyard Distribution,0.00%,1.9,1,1
31,Tartan,0.00%,1.7,10,8
32,Holedigger Studios,0.00%,1.6,2,2
33,Televisa Cine,0.00%,1.4,2,2
34,Emissary Productions,0.00%,1.2,1,1
35,"Monterey Media, Inc.",0.00%,1.2,1,1
36,Palm,0.00%,1.1,7,7
37,Freestyle Releasing,0.00%,1.1,6,6
38,Zeitgeist,0.00%,1,5,5
39,Empire,0.00%,1,4,3
40,Strand,0.00%,0.968,13,10
41,Captured Light Distribution,0.00%,0.898,1,0
42,Luke Films,0.00%,0.852,1,0
43,Indican,0.00%,0.773,13,8
44,Kino,0.00%,0.768,12,9
45,Regent Releasing,0.00%,0.588,9,6
46,Vitagraph,0.00%,0.584,6,6
47,New Yorker,0.00%,0.573,10,7
48,Halestorm,0.00%,0.565,3,2
49,Rialto,0.00%,0.559,4,4
50,Triumph,0.00%,0.469,1,1
51,Cinema Guild,0.00%,0.379,5,3
52,Northern Arts,0.00%,0.337,1,1
53,First Look,0.00%,0.332,5,5
54,Picture This!,0.00%,0.331,7,6
55,Mela Films,0.00%,0.316,1,0
56,TLA Releasing,0.00%,0.283,8,7
